barcode,product_name,brands
8904422706361,Patanjali Kachi Ghani Mustard Oil 2 Ltr,Patanjali
0045917794789,Indic Wisdom Wood Pressed Mustard Oil 1 Ltr,Indic Wisdom
0045917794659,Indic Wisdom Wood Pressed Coconut Oil 1 Ltr,Indic Wisdom
8904043906935,Tata Simply Cold Press Sesame Oil 1 Ltr,"TATA,Simply Better"
0045917794819,Indic Wisdom Wood Pressed Safflower Oil 1 Ltr,Indic Wisdom
8906102380038,Water,
8904150198377,,
00857462,,
8904045056058,Amla juice,
8906078261980,Golden Bytes,Cremica
8908009082718,panipuri,
8901063142718,Oats & Millets Orange Flavour Cookies,Britannia Nutrichoice
8906027712440,Skimmed Milk Powder,Govind
8908020238057,Paneer,Vijaya
8908017366275,Hot & Spicy Nuggets,Shaka Harry Plant Based
8908017366268,Classic Crunchy Nuggets,Shaka Harry Plant Based
8906119861063,,Swaras
8906063892304,Chicken Chorizo Sausages,Meat the World
8906041272753,Zenlee plus,
8906172721434,Cheese balls,
8901764082955,,Kinley
8908017415140,Peanut butter crunchy,
8909106084704,Horlicks Protein,Horlicks
8902080003068,Slice,"Slice,Coca-cola"
8904057396517,,Hatsun
8905110007104,vivel glycerin,Unknown Brand
6986985731983,Veda peppermint,
8885567775484,Veda tea tree oil,
8906010090319,Chilli Cheese Slice,D’lecta
8908014080204,Aloo Papad,Renusa
8904063211125,Aloo Tikki,Haldirams
8906163834235,Makka Shaka Imli,Farmley
8906077362930,,
8906035140075,Chipo white mix,
8906077362992,,
8906077362893,,
8906141311277,Honey By Clover Valley,Clover Valley
8906035140181,Chipo snow flakes mix,
8906070492009,Ojin ring ring,
8904063233172,Takatak,Haldiram
8906090578172,Party Harder,Too Yum
8902433030055,SNICKERS STRAWBERRY FLAVOR,SNICKERS
8906083023313,Mindful essentials Chia Seeds,eatanytime
8901393027761,Play Tennis,Chupa Chups
8906081380159,lime pickle with garlic,"Swetha, Telugu Foods"
6909027979303,wicked gud noodles,wicked gud
8901719136863,Hide & Seek Choco Rolls,Parle
8906143041769,Whole Wheat Penne Rigate,Yu Pasta
8906091931266,Shappad Diabeto Rice Kodo Millet,Unknown Brand
8904256724494,Whole Wheat Bread,Tasties
8906045140881,Whey Protein Isolate,Nutrabay
8901393020373,Happydent White,Perfiti van melle India pvt. ltd
8906094750338,Bottle Milk,Muralya
8906009537306,Gochujang,Max Protein
8908004890288,,
8901790716169,Diclorojo,
8908000870536,Chana Dal,Jaimin
8904010201681,Ibroprofeno,
8901790720685,Amoxcicilina,
8901262220347,Butter Cookies,Amul
8906186474937,Fully Cooked Spaghetti,Pasta Zing
3948262174619,,
8906173934444,Hash Brown,Pommetos
8908018275026,Crushed Peanut Chikki,Nutsy
8908000682788,Jeera Masala Soda,"English, Kaycee"
8906174450653,Kashmiri Kahwa,
8906191631356,Blueberry Cheesecake Protein Bar,Phab
8903081300651,Dessert Protein Powder,Chase
8901207023644,Dabar Red Gel 300g buy2,
8906188960155,Unibic,Unibic
8904132973305,Independence bu,
0732940998467,Greek Yogurt Natural,Agapi
8908013903672,Spring Roll,Yummfeast
8906134790133,Honey Jam Mixed Berry,Eatopia
8906033950676,Nalla karam Powder,G. Pulla Reddy
8901719908828,Black Bourbon Vanilla Cream Sandwich Cookies,Hide & Seek
8901262203562,Borlotti Indiani,Harman
8904089309868,Choco Block,Havmor
8906005672780,Haldi Chana,Charliee
8906056830115,Crave Gulab Jamun,
8906056835004,Crave Besan Laddu,
8906005910103,Aakash Ratlami Sev,Aakash
8906005910042,Aakash 350g,
7312202820502,,
0731788160036,White Chocolate Peanut Butter,Fitfeast
8901548431573,Dark Chocolate,D'lite
8906082372597,Alphonso Mango Ice Cream,nic
8901499025951,Millet Muesli,Kellogg's
8906159751584,Wafers,Nabati
8901777674147,Rajbhog Kulfi,
8906081920768,Vitamin D3 Tablets,Carbamide Forte
2811680017558,dates,
2867916011555,pistachio,
473571943539306139165981403260,cashew,
9991200028738,Ojin Malabar mix,
8908000339767,Karak tea premix,
