barcode,product_name,brands,categories,ingredients_text
0533006410028,Tulsi almonds,Tulsi,Almonds,
0534545346564,nan,,,
0540037566839,Classic vanilla,,,
0540049028806,Dahi (Yellow),Verka,,
0544000015034,Dijon Mustard,Grey Poupon,,
0544187663356,Satyendra sattoo,Satyendra sattoo,,
0544444403671,nan,,Snacks,
0545886046655,nan,,,
0546209270214,nan,,Breakfast,
0548440885080,nan,,,
0551153645612,nan,,,
0551590126149,PINEAPLE TANG,Tang,,
05540220,nan,,,
0555349110540,To mo 100,,,
05847792,nan,,,
0590835001025,nan,,,
05977116,⛑️,1,,
0603728851390,Whole grain Mustard,The Gourmet Jar,,
0603981816259,nan,,,
0605923340884,nan,,,
0605923340891,nan,,,
0608410873971,nan,,,
0608603895025,Packaged Drinking Water,Aquamia,,
0608603896367,nan,,,
0608603896510,nan,,,
0609007990095,nan,,,
0609966704856,Haribo,Haribo,,
06101800,nan,,,
0610708495963,rostaa Salted Mix,Rostaa,nuts,
0610708496007,Blueberries,,,
06112196,mario masala noodles,,,
0611890984525,Lychee & Pink Guava,,,
0612001717926,Cadbury lickables oreo,,,
0612101818707,nan,,,
0613070712027,nan,fssai,,
0613070715486,dark compound chips,,,
0613759495050,Tandoori Tofu,Health on Plants,,
0614299748064,Honey Vanilla Bourbon Pecans,Patriot's Choice Premium,,
06164548,nan,,,
0616859495050,Tandoori Tofu HoP,Health On plants,,
0616967515497,ISO PRO,,,
0617571006548,Professional ISO Hydro Protein Powder,Americanz Muscles,,
0617571143663,Swadish Mango Barfi 250 gm,AV Swadish,Grocery and Dry Fruits,
0622001225512,nan,,,
0622201428501,Oreo Original chocolate sandwich biscuits,Oreo,,
06291125,clinomas_A gel,,,
0631656259209,Whey Protein Chocolate Fudge Brownie,Muscletech,,
0631656259278,Nitro tech Protine Shake,Muscle Tech,en:bodybuilding-supplements,
0631656259810,Nitro tech 100% Whey Gold,Muscletech,,
0631656260151,EAA+ Energy,Muscletech,,
0631656260281,NitroTech Whey Gold Double Rich Chocolate,MuscleTech,,
0632016605216,Cranberry Juice,No Filter,,
0633690009093,tea powder,VRM,tea,
06342001,maggi 2 minute noodles,maggi,Fast food,
0634359765251,Vegan Protein Powder,Genetic Nutrition,,
06366936,Kitchen treasures dates pickle,Kitchen Treasures,,
