barcode,product_name,brands,categories,fssai_category_code,banned_item,banned_item_type,banned_in_jurisdictions,violation_reason,needs_verification,verification_reason,data_source,last_cleaned,is_verified,platform
8906020960053,Refined Oil,Vimal,,Unknown,TBHQ (E319),Additive (INS/E-Code),['JP'],Banned in JP according to additive rulebook. Functional Class: Antioxidant.,True, | Unknown FSSAI category,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,False,foodfactsindia.online
5449000060600,Shweppes Ananas,"Coca-Cola, Schweppes","Boissons,Boissons gazeuses,Boissons édulcorées,Boisson gazeuse",Unknown,Quinoline Yellow (E104),Additive (INS/E-Code),"['JP', 'US']","Banned in JP, US according to additive rulebook. Functional Class: Additive.",True, | Unknown FSSAI category,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,False,foodfactsindia.online
5000159477536,M &M'S Kersteditie Pinda,Mars,,Unknown,Titanium Dioxide (E171),Additive (INS/E-Code),['EU'],Banned in EU according to additive rulebook. Functional Class: Colorant.,True, | Unknown FSSAI category,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,False,foodfactsindia.online
5449000033413,HAWAI,"Coca-Cola Company, Cocacola",,Unknown,Quinoline Yellow (E104),Additive (INS/E-Code),"['JP', 'US']","Banned in JP, US according to additive rulebook. Functional Class: Additive.",True, | Unknown FSSAI category,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,False,foodfactsindia.online
5711243112744,Sweetkitchen Pastafarve mørkeblå,Sweetkitchen,Dagligvarer,Unknown,Carmoisine / Azorubine (E122),Additive (INS/E-Code),"['JP', 'US']","Banned in JP, US according to additive rulebook. Functional Class: Additive.",True, | Unknown FSSAI category,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,False,foodfactsindia.online
5900951272967,M&M's Crunchy Caramel,Mars,,Unknown,Titanium Dioxide (E171),Additive (INS/E-Code),['EU'],Banned in EU according to additive rulebook. Functional Class: Colorant.,True, | Unknown FSSAI category,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,False,foodfactsindia.online
8852756328738,LCM's kaleidos,Kellogg's,,Unknown,Titanium Dioxide (E171),Additive (INS/E-Code),['EU'],Banned in EU according to additive rulebook. Functional Class: Colorant.,True, | Unknown FSSAI category,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,False,foodfactsindia.online
10217627,Décros sucrés,Kitchen Academy,,Unknown,Titanium Dioxide (E171),Additive (INS/E-Code),['EU'],Banned in EU according to additive rulebook. Functional Class: Colorant.,True, | Unknown FSSAI category,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,False,foodfactsindia.online
10408780,starburst jelly beans,Mars,,Unknown,Titanium Dioxide (E171),Additive (INS/E-Code),['EU'],Banned in EU according to additive rulebook. Functional Class: Colorant.,True, | Unknown FSSAI category,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,False,foodfactsindia.online
4009900489119,White Bubblemint Chewing Gum Sugar Free Bottle Pieces,"Mars, Wrigley’s",,Unknown,Titanium Dioxide (E171),Additive (INS/E-Code),['EU'],Banned in EU according to additive rulebook. Functional Class: Colorant.,True, | Unknown FSSAI category,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,False,foodfactsindia.online
3023290798454,La Laitière secret de mousse saveur Rocher coco,"Nestlé, La Laitière, Secret de Mousse","Produits laitiers, Desserts, Desserts lactés, Frais, Mousses sucrées, Mousses lactées",Unknown,Titanium Dioxide (E171),Additive (INS/E-Code),['EU'],Banned in EU according to additive rulebook. Functional Class: Colorant.,True, | Unknown FSSAI category,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,False,foodfactsindia.online
9300682051385,TWIX,TWIX,,Unknown,Patent Blue V (E131),Additive (INS/E-Code),"['IN', 'JP', 'US']","Banned in IN, JP, US according to additive rulebook. Functional Class: Additive.",True,Claims banned in India - verify against FSSAI Schedule 2.4.5 | Unknown FSSAI category,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,False,foodfactsindia.online
5060337509831,Monster Hydro Manic Melon,Monster,"Boissons, Boissons édulcorées",Unknown,Carmoisine / Azorubine (E122),Additive (INS/E-Code),"['JP', 'US']","Banned in JP, US according to additive rulebook. Functional Class: Additive.",True, | Unknown FSSAI category,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,False,foodfactsindia.online
9400547003037,fruit salad,Heinz,,Unknown,Erythrosine (E127),Additive (INS/E-Code),['US'],Banned in US according to additive rulebook. Functional Class: Additive.,True, | Unknown FSSAI category,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,False,foodfactsindia.online
7802000011900,Cheetos,PepsiCo,,Unknown,TBHQ (E319),Additive (INS/E-Code),['JP'],Banned in JP according to additive rulebook. Functional Class: Antioxidant.,True, | Unknown FSSAI category,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,False,foodfactsindia.online
7802000011900,Cheetos,PepsiCo,,Unknown,Titanium Dioxide (E171),Additive (INS/E-Code),['EU'],Banned in EU according to additive rulebook. Functional Class: Colorant.,True, | Unknown FSSAI category,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,False,foodfactsindia.online
40099873,Extra Salty Licorice 14g,MARS NORGE AS,,Unknown,Titanium Dioxide (E171),Additive (INS/E-Code),['EU'],Banned in EU according to additive rulebook. Functional Class: Colorant.,True, | Unknown FSSAI category,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,False,foodfactsindia.online
7501059287228,Coffee mate caramelo,Nestlé,"Alimentos y bebidas de origen vegetal, Bebidas, Alimentos de origen vegetal, Cafés, Bebidas azucaradas, CREMAS, SUSTITUTO DE CREMA",Unknown,Titanium Dioxide (E171),Additive (INS/E-Code),['EU'],Banned in EU according to additive rulebook. Functional Class: Colorant.,True, | Unknown FSSAI category,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,False,foodfactsindia.online
44000063757,Trolls Oreo,Oreo,,CAT_07,Erythrosine (E127),Additive (INS/E-Code),['US'],Banned in US according to additive rulebook. Functional Class: Additive.,True, | Non-standard barcode length,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,False,foodfactsindia.online
72554001529,Frozen Dairy Dessert Cones,Nestle,"Desserts, Frozen foods, Frozen desserts",Unknown,Partially Hydrogenated Oil (PHO),Ingredient (Null INS),"['US', 'CA']",Banned in US (FDA 2018 GRAS revocation) and Canada due to industrial trans fats.,True, | Unknown FSSAI category | Non-standard barcode length,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,False,foodfactsindia.online
34260777,choc whizz,Heinz,,Unknown,TBHQ (E319),Additive (INS/E-Code),['JP'],Banned in JP according to additive rulebook. Functional Class: Antioxidant.,True, | Unknown FSSAI category,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,False,foodfactsindia.online
40099361,Extra Sugarfree Peppermint 14g,"Mars inc, Wrigley's Extra",,Unknown,Titanium Dioxide (E171),Additive (INS/E-Code),['EU'],Banned in EU according to additive rulebook. Functional Class: Colorant.,True, | Unknown FSSAI category,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,False,foodfactsindia.online
